Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
2002/9/30,-0.054986673,-0.219069454,0.042655831,0.249855266,0.531370046,0.449012073,0.040129057,-0.024502309,0.111519665,0.189278908,0.04011243,0.05300665,-0.216647393,-0.292272175,0.051546828,0.273082751
2002/10/31,0.121475928,0.168280663,-0.067457816,0.00857642,-0.286055721,-0.196428151,0.100866935,-0.070533626,-0.05893452,-0.098798483,-0.240456496,-0.152796377,0.337940221,0.365255248,-0.031757688,-0.115973047
2002/11/29,-0.027145442,0.14156704,-0.005360447,-0.178362751,-0.569782689,-0.592795926,0.004267484,0.120879033,-0.209642498,-0.254078032,-0.115657999,-0.012593575,0.232650287,0.30754689,-0.023550996,-0.354109489
2002/12/31,-0.243562363,-0.40027681,0.041732512,-0.000719286,0.185884611,0.137029607,-0.010686859,-0.08099217,0.037388176,0.081894187,0.268437676,0.19197574,-0.259335676,-0.371277004,0.012982611,0.090246771
2003/1/31,0.007017549,-0.152954654,0.025650269,0.087593431,-0.022568374,0.246318645,0.044955065,0.079704975,-0.071727289,-0.059599368,0.036596208,0.000943359,0.09467642,0.05523699,-0.15090912,0.080570907
2003/2/28,-0.120442654,0.099764112,0.024095001,0.124480814,0.146849944,0.08808982,-0.092614241,0.003439782,-0.050583885,-0.069921429,-0.054553277,-0.111964625,0.063991608,0.301358845,-0.039817934,-0.069489681
2003/3/31,-0.045574354,-0.083335917,-0.003181422,0.089994259,0.068197972,-0.04020929,-0.009745917,-0.136170011,-0.016428787,0.100096927,0.078692701,0.105790025,-0.170324491,-0.043964889,0.136745184,0.037585746
2003/4/30,0.050647277,-0.002472581,-0.019135887,-0.165706317,-0.117902122,0.110256165,0.024429237,-0.04852435,-0.169226776,0.071402789,-0.064865268,0.014093742,0.126541977,0.10505505,-0.084778278,-0.108654723
2003/5/30,0.040592943,-0.020285733,-0.075330808,-0.286127908,0.194542357,0.076930118,0.192577575,-0.100659964,-0.031821415,-0.105697405,-0.050225486,0.061129233,0.110975817,0.063938977,-0.092733146,-0.039901184
2003/6/30,0.026181427,-0.016066652,-0.095666931,0.025093179,-0.229369411,-0.071767388,0.081046359,0.078681244,0.151336423,0.157761454,-0.071007325,0.094825956,0.141152779,-0.22084895,0.118429055,0.195434278
2003/7/31,0.125947537,0.110799066,-0.064112233,0.08380494,-0.037588076,-0.30587949,-0.013038765,0.030608893,0.04371939,-0.009612587,-0.155342971,-0.070590937,0.030375025,0.110636989,0.117350966,-0.090081529
2003/8/29,-0.029551413,0.039734816,-0.076163563,-0.003905047,-0.027676646,0.37120398,-0.049033942,0.148579154,-0.094722664,-0.027372287,-0.224233131,-0.0041788,0.116179582,0.146678836,0.183925899,0.08225923
2003/9/30,0.017225452,-0.002608358,-0.128440662,0.091559363,-0.115422681,-0.076645892,-0.113451979,-0.130189449,0.10858611,-0.213027592,0.148280013,0.20588103,-0.275893833,-0.237489088,-0.219693856,-0.167308314
2003/10/31,0.111140625,0.037817394,-0.073034566,-0.021497656,0.032080562,0.428346034,0.076024454,0.132399125,0.005317355,0.061781275,-0.031868323,-0.070930289,0.215268549,0.175427415,-0.17277875,0.004619259
2003/11/28,0.102935031,0.005716834,-0.058838276,0.117840723,0.220039141,0.082106946,0.030182254,-0.159706891,0.038808519,0.175796287,-0.263458168,-0.016752229,0.112650947,0.127696117,0.158373684,-0.01135061
2003/12/31,0.004379614,-0.044030842,-0.210785307,-0.290572679,-0.160801256,-0.386384659,0.034407436,0.293426839,-0.274260545,-0.26957418,0.098417369,0.19097834,0.059684149,-0.408383527,-0.112235807,-0.097281691
2004/1/30,0.138414795,0.044570969,-0.044340616,-0.056264498,0.002719559,-0.061100465,0.125875374,0.139758102,-0.073271312,-0.097106108,-0.135036134,-0.138337289,0.269763638,0.129164828,-0.101656549,-0.175079831
2004/2/27,-0.196932275,-0.127082985,-0.094002988,-0.220139036,-0.322177166,0.103229447,-0.012102887,-0.089697783,0.157163379,0.110718138,0.099893051,0.008099902,-0.164462649,-0.192027194,0.174257817,0.124899817
2004/3/31,-0.073516601,-0.05094397,-0.044581824,0.059158982,0.149838861,-0.093429905,-0.260477451,0.158526661,0.069044533,0.089748009,0.080367396,0.030060239,-0.419016353,-0.255224384,0.05954798,0.303419337
2004/4/30,-0.273274933,-0.169526415,0.069668685,0.001306246,-0.177550302,-0.086622657,-0.010941241,-0.155920776,0.080504113,-0.018636169,0.03888872,-0.08287326,-0.422336505,-0.255759298,0.203649107,0.217316123
2004/5/31,0.056210469,0.060411167,-0.035596689,0.019049165,-0.096530963,0.003058238,0.068768255,0.120674048,0.095004952,-0.022899374,-0.019756114,-0.19115355,0.134678738,0.333119033,-0.049934018,-0.095135836
2004/6/30,0.164084958,0.126242297,-0.095287721,-0.131017215,0.301383222,0.281711807,0.004515866,-0.00957593,0.089383946,-0.188743411,0.107041543,0.087987728,-0.254429778,-0.050558331,0.150253963,-0.070095541
2004/7/30,0.069787244,-0.031446319,-0.024591646,-0.054380323,0.150018652,0.106571802,-0.078851545,0.016605965,-0.03003015,0.057855561,0.1585247,0.157809344,-0.246936597,-0.208534971,-0.253781741,0.098433918
